GENOME	POS_LEFT	POS_RIGHT	+	AMPLICON
MN908947.3	31	410	+	nCoV-2019_1
MN908947.3	321	726	+	nCoV-2019_2
MN908947.3	643	1028	+	nCoV-2019_3
MN908947.3	944	1337	+	nCoV-2019_4
MN908947.3	1243	1651	+	nCoV-2019_5
MN908947.3	1574	1964	+	nCoV-2019_6
MN908947.3	1876	2269	+	nCoV-2019_7
MN908947.3	2182	2592	+	nCoV-2019_8
MN908947.3	2506	2904	+	nCoV-2019_9
MN908947.3	2827	3210	+	nCoV-2019_10
MN908947.3	3145	3531	+	nCoV-2019_11
MN908947.3	3461	3853	+	nCoV-2019_12
MN908947.3	3772	4164	+	nCoV-2019_13
MN908947.3	4055	4450	+	nCoV-2019_14
MN908947.3	4295	4696	+	nCoV-2019_15
MN908947.3	4637	5017	+	nCoV-2019_16
MN908947.3	4940	5321	+	nCoV-2019_17
MN908947.3	5231	5644	+	nCoV-2019_18
MN908947.3	5564	5957	+	nCoV-2019_19
MN908947.3	5868	6272	+	nCoV-2019_20
MN908947.3	6168	6550	+	nCoV-2019_21
MN908947.3	6467	6873	+	nCoV-2019_22
MN908947.3	6719	7117	+	nCoV-2019_23
MN908947.3	7036	7415	+	nCoV-2019_24
MN908947.3	7306	7694	+	nCoV-2019_25
MN908947.3	7627	8019	+	nCoV-2019_26
MN908947.3	7944	8341	+	nCoV-2019_27
MN908947.3	8250	8661	+	nCoV-2019_28
MN908947.3	8596	8983	+	nCoV-2019_29
MN908947.3	8889	9271	+	nCoV-2019_30
MN908947.3	9205	9585	+	nCoV-2019_31
MN908947.3	9478	9858	+	nCoV-2019_32
MN908947.3	9785	10171	+	nCoV-2019_33
MN908947.3	10077	10459	+	nCoV-2019_34
MN908947.3	10363	10763	+	nCoV-2019_35
MN908947.3	10667	11074	+	nCoV-2019_36
MN908947.3	11000	11394	+	nCoV-2019_37
MN908947.3	11307	11693	+	nCoV-2019_38
MN908947.3	11556	11949	+	nCoV-2019_39
MN908947.3	11864	12256	+	nCoV-2019_40
MN908947.3	12111	12490	+	nCoV-2019_41
MN908947.3	12418	12802	+	nCoV-2019_42
MN908947.3	12711	13096	+	nCoV-2019_43
MN908947.3	13006	13400	+	nCoV-2019_44
MN908947.3	13320	13699	+	nCoV-2019_45
MN908947.3	13600	13984	+	nCoV-2019_46
MN908947.3	13919	14299	+	nCoV-2019_47
MN908947.3	14208	14601	+	nCoV-2019_48
MN908947.3	14546	14926	+	nCoV-2019_49
MN908947.3	14866	15246	+	nCoV-2019_50
MN908947.3	15172	15560	+	nCoV-2019_51
MN908947.3	15482	15886	+	nCoV-2019_52
MN908947.3	15828	16209	+	nCoV-2019_53
MN908947.3	16119	16510	+	nCoV-2019_54
MN908947.3	16417	16833	+	nCoV-2019_55
MN908947.3	16749	17152	+	nCoV-2019_56
MN908947.3	17066	17452	+	nCoV-2019_57
MN908947.3	17382	17761	+	nCoV-2019_58
MN908947.3	17675	18062	+	nCoV-2019_59
MN908947.3	17967	18348	+	nCoV-2019_60
MN908947.3	18254	18672	+	nCoV-2019_61
MN908947.3	18597	18979	+	nCoV-2019_62
MN908947.3	18897	19297	+	nCoV-2019_63
MN908947.3	19205	19616	+	nCoV-2019_64
MN908947.3	19549	19939	+	nCoV-2019_65
MN908947.3	19845	20255	+	nCoV-2019_66
MN908947.3	20173	20572	+	nCoV-2019_67
MN908947.3	20473	20890	+	nCoV-2019_68
MN908947.3	20787	21169	+	nCoV-2019_69
MN908947.3	21076	21455	+	nCoV-2019_70
MN908947.3	21358	21743	+	nCoV-2019_71
MN908947.3	21659	22038	+	nCoV-2019_72
MN908947.3	21962	22346	+	nCoV-2019_73
MN908947.3	22263	22650	+	nCoV-2019_74
MN908947.3	22517	22903	+	nCoV-2019_75
MN908947.3	22798	23214	+	nCoV-2019_76
MN908947.3	23123	23522	+	nCoV-2019_77
MN908947.3	23444	23847	+	nCoV-2019_78
MN908947.3	23790	24169	+	nCoV-2019_79
MN908947.3	24079	24467	+	nCoV-2019_80
MN908947.3	24392	24789	+	nCoV-2019_81
MN908947.3	24697	25076	+	nCoV-2019_82
MN908947.3	24979	25369	+	nCoV-2019_83
MN908947.3	25280	25673	+	nCoV-2019_84
MN908947.3	25602	25994	+	nCoV-2019_85
MN908947.3	25903	26315	+	nCoV-2019_86
MN908947.3	26198	26590	+	nCoV-2019_87
MN908947.3	26521	26913	+	nCoV-2019_88
MN908947.3	26836	27227	+	nCoV-2019_89
MN908947.3	27142	27533	+	nCoV-2019_90
MN908947.3	27447	27854	+	nCoV-2019_91
MN908947.3	27785	28172	+	nCoV-2019_92
MN908947.3	28082	28464	+	nCoV-2019_93
MN908947.3	28395	28779	+	nCoV-2019_94
MN908947.3	28678	29063	+	nCoV-2019_95
MN908947.3	28986	29378	+	nCoV-2019_96
MN908947.3	29289	29693	+	nCoV-2019_97
MN908947.3	29487	29866	+	nCoV-2019_98
